sale_date,branch_id,product_id,quantity_sold,price,promo,weekday,month,revenue,cost_price,total_cost,profit,lag_1,lag_7,is_weekend
2023-01-01,store_1,item_1,41,21.3,0,6,1,873.3,14.91,611.31,261.99,0,0,1
2023-01-02,store_1,item_1,48,21.3,0,0,1,1022.4,14.91,715.68,306.72,41,0,0
2023-01-04,store_1,item_1,53,21.3,0,2,1,1128.9,14.91,790.23,338.67,48,0,0
2023-01-05,store_1,item_1,57,21.3,0,3,1,1214.1,14.91,849.87,364.23,53,0,0
2023-01-06,store_1,item_1,46,21.3,0,4,1,979.8,14.91,685.86,293.94,57,0,0
2023-01-07,store_1,item_1,38,21.3,0,5,1,809.4,14.91,566.58,242.82,46,0,1
2023-01-09,store_1,item_1,45,21.3,0,0,1,958.5,14.91,670.95,287.55,38,0,0
2023-01-10,store_1,item_1,54,21.3,0,1,1,1150.2,14.91,805.14,345.06,45,41,0
2023-01-11,store_1,item_1,56,21.3,0,2,1,1192.8,14.91,834.96,357.84,54,48,0
2023-01-12,store_1,item_1,52,21.3,0,3,1,1107.6,14.91,775.32,332.28,56,53,0
2023-01-14,store_1,item_1,43,21.3,0,5,1,915.9,14.91,641.13,274.77,52,57,1
2023-01-15,store_1,item_1,41,21.3,0,6,1,873.3,14.91,611.31,261.99,43,46,1
2023-01-16,store_1,item_1,51,21.3,0,0,1,1086.3,14.91,760.41,325.89,41,38,0
2023-01-17,store_1,item_1,56,21.3,0,1,1,1192.8,14.91,834.96,357.84,51,45,0
2023-01-19,store_1,item_1,56,21.3,0,3,1,1192.8,14.91,834.96,357.84,56,54,0
2023-01-20,store_1,item_1,41,21.3,0,4,1,873.3,14.91,611.31,261.99,56,56,0
2023-01-21,store_1,item_1,41,21.3,0,5,1,873.3,14.91,611.31,261.99,41,52,1
2023-01-22,store_1,item_1,39,21.3,0,6,1,830.7,14.91,581.49,249.21,41,43,1
2023-01-24,store_1,item_1,92,17.04,1,1,1,1567.68,11.93,1097.56,470.12,39,41,0
2023-01-25,store_1,item_1,62,21.3,0,2,1,1320.6,14.91,924.42,396.18,92,51,0
2023-01-26,store_1,item_1,61,21.3,0,3,1,1299.3,14.91,909.51,389.79,62,56,0
2023-01-27,store_1,item_1,45,21.3,0,4,1,958.5,14.91,670.95,287.55,61,56,0
2023-01-29,store_1,item_1,83,21.3,0,6,1,1767.9,14.91,1237.53,530.37,45,41,1
2023-01-30,store_1,item_1,54,21.3,0,0,1,1150.2,14.91,805.14,345.06,83,41,0
2023-01-31,store_1,item_1,96,17.04,1,1,1,1635.84,11.93,1145.28,490.56,54,39,0
2023-02-01,store_1,item_1,66,21.3,0,2,2,1405.8,14.91,984.06,421.74,96,92,0
2023-02-03,store_1,item_1,44,21.3,0,4,2,937.2,14.91,656.04,281.16,66,62,0
2023-02-04,store_1,item_1,41,21.3,0,5,2,873.3,14.91,611.31,261.99,44,61,1
2023-02-05,store_1,item_1,45,21.3,0,6,2,958.5,14.91,670.95,287.55,41,45,1
2023-02-06,store_1,item_1,55,21.3,0,0,2,1171.5,14.91,820.05,351.45,45,83,0
